Designator,Mid X,Mid Y,Rotation,Layer
R9,91.9404,-43.592,270.0,top
R90,23.241,-29.2608,90.0,top
R91,52.3494,-16.3576,90.0,top
R92,23.241,-16.3322,90.0,top
R93,39.9034,-29.2608,90.0,top
R94,27.3304,-29.2608,90.0,top
R95,48.3108,-16.3576,90.0,top
R96,27.3304,-16.3576,90.0,top
Rl1,5.2964,-22.0726,0.0,top
Rl10,5.2964,-56.4388,0.0,top
Rl11,5.3086,-60.198,0.0,top
Rl12,5.3086,-64.008,0.0,top
Rl13,5.3086,-67.7672,0.0,top
Rl14,5.3086,-71.5518,0.0,top
Rl15,5.3086,-75.4126,0.0,top
Rl16,5.3218,-79.2734,0.0,top
Rl2,5.3086,-25.908,0.0,top
Rl3,5.2964,-29.6926,0.0,top
Rl4,5.2964,-33.5788,0.0,top
Rl5,5.3086,-37.4142,0.0,top
Rl6,5.2964,-41.2242,0.0,top
Rl7,5.2832,-45.085,0.0,top
Rl8,5.2964,-48.8442,0.0,top
Rl9,5.3086,-52.6796,0.0,top
TH3,69.7452,-32.7946,0.0,top
TH7,31.5468,-29.21,90.0,top
TH8,44.0182,-67.945,90.0,top
U1,80.2666,-37.5722,0.0,top
U10,65.217,-13.8938,90.0,top
U11,61.0616,0.7366,0.0,top
U2,75.8952,-9.8552,0.0,top
U3,75.9064,-15.6972,0.0,top
U4,64.8462,-36.195,90.0,top
U5,86.2076,-60.6044,90.0,top
U6,78.467,-71.898,90.0,top
U7,85.471,-9.6395,90.0,top
U8,23.2806,-5.6014,0.0,top
U9,65.1154,-5.6189,90.0,top
Y1,75.673,-80.9912,180.0,top
led1,8.3312,-22.0726,180.0,top
led10,8.3312,-56.4388,180.0,top
led11,8.3312,-60.198,180.0,top
led12,8.3312,-64.008,180.0,top
led13,8.3312,-67.7672,180.0,top
led14,8.3312,-71.5518,180.0,top
led15,8.3312,-75.4126,180.0,top
led16,8.3312,-79.2734,180.0,top
led2,8.3312,-25.908,180.0,top
led3,8.3312,-29.6926,180.0,top
led4,8.3312,-33.5788,180.0,top
led5,8.3312,-37.4142,180.0,top
led6,8.3312,-41.2242,180.0,top
led7,8.3312,-45.085,180.0,top
led8,8.3312,-48.8442,180.0,top
led9,8.3312,-52.6796,180.0,top
